hhid,intervention_level,predicted_intervention_level,risk_score,yield,land_size,household_size,used_fertilizer,household_max_education,has_extension_access,shock_level,asset_score,transport_cost,received_credit,zone
10005,1,1,0.5,0.01895742718107015,100.0,6,1,42.0,0,2.0,28.0,0.0,0.0,3
10009,1,1,0.5,0.03153929192670413,200.0,6,0,43.0,0,0.0,36.0,0.0,0.0,3
10055,1,1,0.5,0.020462060767261602,450.0,5,0,42.0,0,2.0,30.0,0.0,0.0,3
10061,0,0,0.0,0.6397619086444026,1800.0,6,1,26.0,0,2.0,21.0,800.0,0.0,3
10062,0,0,0.0,0.24794726204638962,900.0,1,0,27.0,0,0.0,8.0,0.0,0.0,3
10063,2,2,1.0,0.018181559948043564,4500.0,3,1,23.0,0,2.0,14.0,2500.0,0.0,3
10066,1,1,0.5,0.048515508383718396,6750.0,2,1,21.0,0,0.0,16.0,2000.0,0.0,3
10067,1,1,0.5,0.20348298577605203,2000.0,3,1,23.0,0,2.0,14.0,6500.0,0.0,3
10068,2,2,1.0,0.05096524386910623,300.0,6,1,26.0,0,2.0,7.0,1200.0,0.0,3
10069,1,1,0.5,0.2169586695813303,1300.0,4,1,16.0,0,2.0,16.0,4500.0,0.0,3
10070,0,0,0.0,0.12004726015289856,900.0,3,1,26.0,0,0.0,12.0,1000.0,0.0,3
10074,1,1,0.5,0.015604664458032453,100.0,4,0,26.0,0,2.0,12.0,0.0,0.0,3
10076,1,1,0.5,0.1264651001982737,300.0,2,0,16.0,0,2.0,9.0,0.0,0.0,3
10077,1,1,0.5,0.07172743574417215,0.0,1,0,26.0,0,2.0,5.0,0.0,0.0,3
10078,0,0,0.0,0.09271730727567457,200.0,5,0,25.0,0,0.0,9.0,0.0,0.0,3
10080,1,1,0.5,0.17394262465817092,200.0,4,0,23.0,0,0.0,8.0,0.0,0.0,3
10091,0,0,0.0,0.26005739111748466,12140.58,2,0,26.0,0,0.0,19.0,0.0,0.0,3
10092,0,0,0.0,0.1096169073686234,0.0,7,0,42.0,0,1.0,14.0,0.0,0.0,3
10094,1,0,0.0,0.18728804088711404,0.0,8,0,43.0,0,2.0,22.0,0.0,0.0,3
10096,2,2,1.0,0.032680159696184374,0.0,3,0,41.0,0,2.0,11.0,0.0,0.0,3
10097,1,0,0.0,0.06248112545550035,4046.86,7,0,26.0,0,2.0,12.0,0.0,0.0,3
10099,1,1,0.5,0.05549324487028331,4346.860000000001,1,0,16.0,0,2.0,10.0,0.0,0.0,3
10100,1,1,0.5,0.05631194037331066,8093.72,2,0,16.0,0,2.0,7.0,0.0,0.0,3
10102,0,0,0.0,0.27534783129829926,100.0,1,0,0.0,0,0.0,4.0,0.0,0.0,3
