site_id,latitude,longitude,elevation
Kaduna_Grain_Belt-000,11.3375,7.9667,693.0
Kaduna_Grain_Belt-001,10.2812,8.3667,1047.0
Kaduna_Grain_Belt-002,10.9313,7.3444,590.0
Kaduna_Grain_Belt-003,10.6062,7.7444,624.0
Kaduna_Grain_Belt-004,11.2562,8.1444,605.0
Kaduna_Grain_Belt-005,10.4437,7.4778,631.0
Kaduna_Grain_Belt-006,11.0938,7.8778,665.0
Kaduna_Grain_Belt-007,10.7687,8.2778,711.0
Kaduna_Grain_Belt-008,11.4187,7.6111,684.0
Kaduna_Grain_Belt-009,10.2406,8.0111,654.0
Kaduna_Grain_Belt-010,10.8906,8.4111,709.0
Kaduna_Grain_Belt-011,10.5656,7.3889,623.0
Kaduna_Grain_Belt-012,11.2156,7.7889,664.0
Kaduna_Grain_Belt-013,10.4031,8.1889,725.0
Kaduna_Grain_Belt-014,11.0531,7.5222,677.0
Kaduna_Grain_Belt-015,10.7281,7.9222,672.0
Kaduna_Grain_Belt-016,11.3781,8.3222,547.0
Kaduna_Grain_Belt-017,10.3219,7.6556,682.0
Kaduna_Grain_Belt-018,10.9719,8.0556,690.0
Kaduna_Grain_Belt-019,10.6469,8.4556,824.0
Kaduna_Grain_Belt-020,11.2969,7.3148,637.0
Kaduna_Grain_Belt-021,10.4844,7.7148,628.0
Kaduna_Grain_Belt-022,11.1344,8.1148,655.0
Kaduna_Grain_Belt-023,10.8094,7.4481,674.0
Kaduna_Grain_Belt-024,11.4594,7.8481,633.0
Kaduna_Grain_Belt-025,10.2203,8.2481,764.0
Kaduna_Grain_Belt-026,10.8703,7.5815,651.0
Kaduna_Grain_Belt-027,10.5453,7.9815,628.0
Kaduna_Grain_Belt-028,11.1953,8.3815,620.0
Kaduna_Grain_Belt-029,10.3828,7.3593,629.0
Kaduna_Grain_Belt-030,11.0328,7.7593,611.0
Kaduna_Grain_Belt-031,10.7078,8.1593,665.0
Kano_Sudan_Savannah-000,12.4625,8.6667,408.0
Kano_Sudan_Savannah-001,11.5687,9.0667,463.0
Kano_Sudan_Savannah-002,12.1188,8.0444,534.0
Kano_Sudan_Savannah-003,11.8438,8.4444,437.0
Kano_Sudan_Savannah-004,12.3937,8.8444,395.0
Kano_Sudan_Savannah-005,11.7063,8.1778,513.0
Kano_Sudan_Savannah-006,12.2562,8.5778,462.0
Kano_Sudan_Savannah-007,11.9812,8.9778,402.0
Kano_Sudan_Savannah-008,12.5312,8.3111,480.0
Kano_Sudan_Savannah-009,11.5344,8.7111,476.0
Kano_Sudan_Savannah-010,12.0844,9.1111,387.0
Kano_Sudan_Savannah-011,11.8094,8.0889,510.0
Kano_Sudan_Savannah-012,12.3594,8.4889,455.0
Kano_Sudan_Savannah-013,11.6719,8.8889,456.0
Kano_Sudan_Savannah-014,12.2219,8.2222,532.0
Kano_Sudan_Savannah-015,11.9469,8.6222,488.0
Kano_Sudan_Savannah-016,12.4969,9.0222,381.0
Kano_Sudan_Savannah-017,11.6031,8.3556,478.0
Kano_Sudan_Savannah-018,12.1531,8.7556,441.0
Kano_Sudan_Savannah-019,11.8781,9.1556,410.0
Kano_Sudan_Savannah-020,12.4281,8.0148,524.0
Kano_Sudan_Savannah-021,11.7406,8.4148,472.0
Kano_Sudan_Savannah-022,12.2906,8.8148,406.0
Kano_Sudan_Savannah-023,12.0156,8.1481,537.0
Kano_Sudan_Savannah-024,12.5656,8.5481,414.0
Kano_Sudan_Savannah-025,11.5172,8.9481,482.0
Kano_Sudan_Savannah-026,12.0672,8.2815,490.0
Kano_Sudan_Savannah-027,11.7922,8.6815,427.0
Kano_Sudan_Savannah-028,12.3422,9.0815,381.0
Kano_Sudan_Savannah-029,11.6547,8.0593,533.0
Kano_Sudan_Savannah-030,12.2047,8.4593,446.0
Kano_Sudan_Savannah-031,11.9297,8.8593,402.0
Benue_River_Basin-000,7.9625,8.8667,118.0
Benue_River_Basin-001,7.0687,9.2667,178.0
Benue_River_Basin-002,7.6187,8.2444,139.0
Benue_River_Basin-003,7.3438,8.6444,127.0
Benue_River_Basin-004,7.8937,9.0444,94.0
Benue_River_Basin-005,7.2062,8.3778,104.0
Benue_River_Basin-007,7.4813,9.1778,103.0
Benue_River_Basin-008,8.0312,8.5111,114.0
Benue_River_Basin-009,7.0344,8.9111,127.0
Benue_River_Basin-010,7.5844,9.3111,113.0
Benue_River_Basin-011,7.3094,8.2889,108.0
Benue_River_Basin-012,7.8594,8.6889,80.0
Benue_River_Basin-013,7.1719,9.0889,194.0
Benue_River_Basin-014,7.7219,8.4222,75.0
Benue_River_Basin-015,7.4469,8.8222,140.0
Benue_River_Basin-016,7.9969,9.2222,101.0
Benue_River_Basin-018,7.6531,8.9556,98.0
Benue_River_Basin-019,7.3781,9.3556,113.0
Benue_River_Basin-020,7.9281,8.2148,60.0
Benue_River_Basin-021,7.2406,8.6148,124.0
Benue_River_Basin-022,7.7906,9.0148,111.0
Benue_River_Basin-023,7.5156,8.3481,89.0
Benue_River_Basin-024,8.0656,8.7481,107.0
Benue_River_Basin-025,7.0172,9.1481,166.0
Benue_River_Basin-026,7.5672,8.4815,104.0
Benue_River_Basin-027,7.2922,8.8815,152.0
Benue_River_Basin-028,7.8422,9.2815,132.0
Kenya_Rift_Valley-000,1.025,35.5222,2661.0
Kenya_Rift_Valley-001,-0.1125,35.9556,1716.0
Kenya_Rift_Valley-002,0.5875,34.8481,1558.0
Kenya_Rift_Valley-003,0.2375,35.2815,2127.0
Kenya_Rift_Valley-004,0.9375,35.7148,1191.0
Kenya_Rift_Valley-005,0.0625,34.9926,2014.0
Kenya_Rift_Valley-006,0.7625,35.4259,2088.0
Kenya_Rift_Valley-007,0.4125,35.8593,1366.0
Kenya_Rift_Valley-008,1.1125,35.137,1856.0
Kenya_Rift_Valley-009,-0.1562,35.5704,2312.0
Kenya_Rift_Valley-010,0.5437,36.0037,1006.0
Kenya_Rift_Valley-011,0.1937,34.8963,1588.0
Kenya_Rift_Valley-012,0.8938,35.3296,1978.0
Kenya_Rift_Valley-013,0.0187,35.763,2051.0
Kenya_Rift_Valley-014,0.7188,35.0407,1791.0
Kenya_Rift_Valley-016,1.0687,35.9074,1092.0
Kenya_Rift_Valley-017,-0.0688,35.1852,1338.0
Kenya_Rift_Valley-018,0.6312,35.6185,1058.0
Kenya_Rift_Valley-019,0.2812,36.0519,1137.0
Kenya_Rift_Valley-020,0.9812,34.816,1984.0
Kenya_Rift_Valley-021,0.1062,35.2494,2107.0
Kenya_Rift_Valley-022,0.8062,35.6827,1073.0
Kenya_Rift_Valley-023,0.4562,34.9605,1993.0
Kenya_Rift_Valley-024,1.1562,35.3938,2837.0
Kenya_Rift_Valley-025,-0.1781,35.8272,1916.0
Kenya_Rift_Valley-026,0.5219,35.1049,1993.0
Kenya_Rift_Valley-027,0.1719,35.5383,2567.0
Kenya_Rift_Valley-028,0.8719,35.9716,897.0
Kenya_Rift_Valley-029,-0.0031,34.8642,1757.0
Kenya_Rift_Valley-030,0.6969,35.2975,2076.0
Kenya_Rift_Valley-031,0.3469,35.7309,1418.0
